,DTYYYYMMDD,BID,BVH,CII,CTG,DPM,FLC,FPT,GAS,GMD,HAG,HCM,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PPC,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
72,20161011,15.2,68.92,28.67,15.86,21.69,5.3,26.88,61.04,20.27,5.1,12.17,5.52,14.37,16.97,4.55,16.94,32.51,9.46,43.44,48.83,24.64,9.49,23.23,18.34,22.95,19.05,9.25,36.2,34.79,105.89
73,20161010,15.16,68.63,28.67,15.82,21.54,4.95,26.33,57.23,19.76,5.13,12.17,5.56,13.44,16.18,4.55,17.13,32.16,9.49,43.44,48.39,25.04,9.49,22.48,17.78,21.47,19.01,9.37,35.92,34.79,105.59
74,20161007,15.38,68.44,29.05,16.0,21.69,4.9,27.21,60.11,20.23,5.13,12.21,5.69,14.1,16.92,4.5,17.13,32.64,9.55,43.57,48.5,25.5,9.53,23.19,18.0,21.43,19.01,9.53,36.35,35.37,106.72
75,20161006,15.65,68.92,28.86,16.28,21.43,4.99,27.84,59.77,20.49,5.14,12.17,5.67,14.71,16.88,4.5,17.46,32.64,9.52,44.02,48.97,25.44,9.59,22.48,18.13,21.68,19.09,9.61,36.73,35.29,107.02
76,20161005,15.65,69.78,28.43,16.28,21.5,4.7,28.27,60.7,20.42,5.11,12.17,5.6,14.95,17.18,4.31,17.46,32.34,9.42,44.46,48.68,25.37,9.4,21.66,18.26,21.68,19.31,9.35,36.59,36.2,105.81
77,20161004,15.47,69.11,28.09,16.0,21.66,4.4,28.27,60.28,20.56,5.15,12.27,5.6,15.07,17.32,4.05,17.27,32.16,9.42,44.46,49.04,24.84,9.4,21.57,18.17,21.54,19.26,9.15,36.3,36.36,105.89
78,20161003,15.38,66.52,28.57,15.68,21.54,4.58,28.18,60.19,21.07,5.21,12.38,5.49,15.26,17.93,4.1,17.22,33.04,9.46,44.53,50.09,24.51,9.53,22.07,18.3,21.47,19.09,9.2,36.3,35.54,105.89
79,20160930,15.38,67.86,28.38,15.68,21.69,4.41,28.18,59.77,21.21,5.25,12.38,5.6,15.67,18.37,4.17,17.78,32.99,9.52,44.72,50.2,25.04,9.53,21.99,18.51,21.68,19.01,9.32,36.68,36.78,105.51
80,20160929,15.38,67.0,28.14,15.86,21.58,4.13,28.6,61.63,21.43,5.25,12.55,5.85,15.91,18.37,4.18,18.02,33.39,9.46,43.38,49.98,25.44,9.46,22.44,18.86,21.54,19.01,9.39,36.68,37.15,105.51
81,20160928,15.7,68.44,27.94,16.1,21.58,4.12,28.93,58.94,20.71,5.31,12.63,6.05,16.02,18.15,4.18,17.88,33.74,9.39,42.93,49.58,24.84,9.46,21.0,18.94,21.47,19.09,9.43,37.35,36.9,105.51
