,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HAG,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
59,20170427,15.82,85.22,54.85,36.95,187.95,16.68,88.95,19.36,28.09,49.65,24.51,8.71,11.9,15.18,21.68,3.26,13.99,34.61,10.63,45.15,60.15,20.52,16.87,24.88,23.23,19.85,12.4,33.38,33.8,110.41
60,20170426,15.72,85.63,54.85,36.65,187.04,16.58,85.27,19.52,27.78,48.49,23.67,8.79,11.85,15.02,21.37,3.29,13.99,34.09,10.53,45.45,59.18,20.32,16.91,24.29,22.0,19.99,11.85,33.57,33.39,108.45
61,20170425,15.58,85.68,54.85,36.5,186.76,16.49,82.45,18.86,27.57,47.78,23.42,8.53,11.45,15.33,21.07,3.2,13.95,34.26,10.42,45.5,58.96,20.35,16.82,23.7,22.04,19.76,11.1,33.62,33.35,108.07
62,20170424,15.58,84.22,54.56,36.6,185.39,16.39,82.45,18.7,27.63,48.14,23.31,8.68,11.65,15.46,20.85,3.23,13.95,34.26,10.46,45.4,59.86,20.42,17.09,23.38,22.09,19.63,10.5,33.62,33.06,108.52
63,20170421,15.77,85.9,54.85,36.4,187.4,16.49,82.02,19.27,27.69,47.69,23.53,8.29,11.15,15.66,21.37,3.23,13.99,33.74,10.56,45.0,60.04,20.59,16.91,23.7,22.18,19.94,11.25,34.0,33.47,109.05
64,20170420,15.82,87.13,54.94,36.4,187.31,16.77,81.65,19.68,27.69,48.05,23.38,8.16,10.9,15.66,21.48,3.2,14.13,34.74,10.49,44.9,59.86,20.38,16.91,23.7,22.23,19.94,11.6,33.91,33.55,109.2
65,20170419,15.53,88.68,55.99,36.2,185.66,16.68,82.2,20.26,27.78,48.94,23.82,8.07,10.7,15.92,21.83,3.27,14.09,34.96,10.49,45.8,60.22,20.65,17.23,23.42,22.27,19.85,11.6,34.38,34.3,109.58
66,20170418,15.72,89.32,55.9,35.95,184.29,16.68,82.63,18.95,27.78,49.03,23.06,8.05,10.6,15.56,21.52,3.26,13.9,35.14,10.63,46.0,58.78,20.32,17.5,23.15,22.27,20.12,11.3,34.34,34.46,108.83
67,20170417,15.63,89.78,55.13,35.1,182.45,16.39,82.51,18.7,27.6,48.05,22.8,8.12,10.6,15.69,21.25,3.25,13.85,34.09,10.56,44.0,59.5,20.79,17.46,23.1,22.27,19.5,11.2,34.0,34.5,107.02
68,20170414,16.25,90.6,55.8,36.4,182.45,16.87,83.0,18.58,27.81,47.96,22.88,8.2,10.5,15.9,21.99,3.28,13.95,35.05,10.63,45.5,60.29,20.72,17.87,23.97,22.27,19.81,11.6,34.81,34.5,106.79
69,20170413,16.1,90.64,56.38,35.7,185.2,17.11,82.08,18.74,28.54,48.67,23.56,8.6,10.7,16.2,22.03,3.07,13.95,36.27,10.84,45.75,61.3,21.06,18.18,24.43,22.18,20.08,11.9,35.2,35.04,107.85
70,20170412,16.2,90.46,56.28,36.95,185.11,17.16,82.2,19.03,28.72,49.29,24.25,8.6,10.7,16.26,22.1,3.08,14.27,36.01,10.74,45.8,60.94,21.19,18.41,24.29,22.14,20.48,12.75,35.25,34.75,108.52
71,20170411,16.2,90.83,56.38,37.7,187.95,17.45,82.81,19.23,28.36,50.54,24.47,9.14,11.5,16.41,22.99,3.25,14.37,36.58,10.95,46.1,60.8,21.19,18.23,24.24,22.54,21.06,12.65,35.34,35.17,108.15
72,20170410,16.2,91.14,56.95,37.95,188.6,17.26,81.77,19.36,28.39,50.63,24.18,9.19,11.6,16.44,23.22,3.49,14.09,35.35,10.7,46.5,59.9,21.12,18.05,24.24,22.91,21.33,12.8,35.15,35.04,107.47
73,20170407,16.29,88.87,55.8,38.2,186.12,17.35,82.38,19.48,28.39,50.27,24.14,9.25,11.55,16.38,23.13,3.5,14.04,35.14,10.74,47.3,60.22,21.36,18.23,24.2,23.0,20.7,13.15,35.25,34.71,107.47
74,20170405,16.34,88.87,55.8,38.15,183.19,17.35,82.2,19.27,28.12,48.16,24.47,9.35,11.7,16.18,22.59,3.63,13.9,35.75,10.77,45.9,60.22,21.49,17.87,24.43,22.95,20.52,12.3,35.29,34.38,108.07
75,20170404,16.39,89.32,56.57,38.5,187.04,17.3,83.37,19.64,28.39,47.72,24.83,9.6,12.2,16.62,22.99,3.9,14.09,36.01,10.81,47.2,60.04,21.46,17.91,24.7,22.82,21.24,12.4,35.25,34.71,108.52
76,20170403,16.34,92.1,56.19,38.45,188.41,17.35,83.67,19.64,28.03,48.08,24.9,9.05,11.45,16.44,22.12,3.99,13.99,35.83,10.81,47.9,60.4,21.36,17.91,24.79,22.64,21.59,12.25,34.86,34.3,108.75
77,20170331,16.72,93.74,56.66,37.7,191.99,17.45,84.9,19.89,28.57,48.34,25.05,9.15,11.6,15.72,22.1,4.03,14.04,36.71,10.74,47.05,60.69,21.19,18.23,24.88,22.45,21.28,11.45,35.34,34.55,108.0
